,Year,Country,Nuclear,Wind,Thermal,Solar,Hydro,Conbustible_Fuels,Others
1,2010,Belgium,47944,1292,44167,560,1668,58266.16491,32813
2,2010,Czechia,27998,335,53489,616,3380,10150,17666
3,2010,France,428521,9945,62065,620,67526,38416,62794
4,2010,Germany,140556,38547,412825,11729,27353,286986,323582
5,2010,Hungary,15761,534,20887,1,188,13419,16177
6,2010,Netherlands,3969,3994,110992,56,105,43982,48273
7,2010,Romania,11623,306,28807,5253.423695,20243,15591,20647
8,2010,Russian Federation,170415,4,698709,5253.423695,168397,58266.16491,68017
9,2010,Switzerland,26339,37,3521,94,37825,58266.16491,1685
10,2010,Ukraine,89152,2312,86495,1,13158,65756,83046
11,2011,Belgium,48234,397,37154,1169,1423,22526,24150
12,2011,Czechia,28283,12372,53867,2182,2664,10290,29750
13,2011,France,442388,49858,64032,2334,50894,38152,100124
14,2011,Germany,107971,626,410064,19599,23512,287245,272770
15,2011,Hungary,15685,5101,19485,1,222,11687,18648
16,2011,Netherlands,4141,1388,104412,104,57,46889,47847
17,2011,Romania,11747,5,34135,1,14946,18662,23006
18,2011,Russian Federation,172941,70,713689,5253.423695,167608,58266.16491,67802
19,2011,Switzerland,26710,89,3550,168,34133,58266.16491,1685
20,2011,Ukraine,90248,2751,93634,30,10946,71750,89724
21,2012,Belgium,40295,416,35882,2148,1659,20403,20978
22,2012,Czechia,30324,15178,51595,2149,2860,9328,31125
23,2012,France,425406,51680,61722,4427,64761,36799,96869
24,2012,Germany,99460,770,421100,26380,27850,300976,285105
25,2012,Hungary,15793,4981,17851,8,213,11462,17957
26,2012,Netherlands,3915,2640,93896,191,104,37063,38635
27,2012,Romania,11466,5,32594,8,12337,16426,19142
28,2012,Russian Federation,177534,88,725399,5253.423695,167319,58266.16491,68838
29,2012,Switzerland,25441,288,3711,300,40305,58266.16491,1881
30,2012,Ukraine,90137,3665,97126,333,10994,76840,95698
31,2013,Belgium,42644,481,32418,2644,1704,17816,17501
32,2013,Czechia,30745,16127,49940,2033,3639,7931,30638
33,2013,France,423685,52737,59047,5194,77073,36589,96186
34,2013,Germany,97290,718,427037,31010,28782,304811,288722
35,2013,Hungary,15370,5627,13936,25,213,8713,15853
36,2013,Netherlands,2891,4520,92465,410,114,40811,43761
37,2013,Romania,11618,5,27021,420,15308,10875,11113
38,2013,Russian Federation,172508,90,703481,5253.423695,182654,58266.16491,63983
39,2013,Switzerland,25990,639,3679,500,39968,58266.16491,2248
40,2013,Ukraine,83209,4615,95487,570,14472,79381,98650
41,2014,Belgium,33703,477,29550,2886,1465,16026,14289
42,2014,Czechia,30325,17324,50174,2123,2961,7525,31316
43,2014,France,436479,58497,41671,6392,69571,21102,84850
44,2014,Germany,97129,657,408559,36056,25444,287481,264453
45,2014,Hungary,15649,5797,12674,67,301,8272,15619
46,2014,Netherlands,4091,6201,92488,726,112,45153,50057
47,2014,Romania,11676,96,26903,1616,19280,12279,11151
48,2014,Russian Federation,180757,101,705598,160,177141,58266.16491,69097.028
49,2014,Switzerland,27557,1130,3566,842,39701,58266.16491,2788
50,2014,Ukraine,88389,5574,83549,429,9318,68547,87376
51,2015,Belgium,26103,573,33209,3056,1418,18612,15591
52,2015,Czechia,26841,21420,51063,2264,3071,8649,36392
53,2015,France,437428,80624,51181,7754,60514,28770,110974
54,2015,Germany,91786,693,410318,38726,24898,281560,237689
55,2015,Hungary,15834,7550,13395,141,234,8708,17712
56,2015,Netherlands,4078,7063,95922,1108,93,52825,55340
57,2015,Romania,11640,148,28604,1982,17007,13927,12031
58,2015,Russian Federation,195470,110,701220,335,169914,58266.16491,69079.402
59,2015,Switzerland,23089,1084,3521,1119,39881,58266.16491,2539
60,2015,Ukraine,87627,5438,67523,477,6971,54961,72347
61,2016,Belgium,43523,497,31744,3095,1489,16679,14570
62,2016,Czechia,24104,21381,53279,2131,3202,36224,63923
63,2016,France,403195,79924,63968,8659,65686,40499,121512
64,2016,Germany,84634,684,419596,38098,26135,278857,234271
65,2016,Hungary,16054,8170,14583,244,259,9428,19190
66,2016,Netherlands,3960,6590,99952,1602,100,58513,59728
67,2016,Romania,11286,148,26871,1820,18536,12473,10878
68,2016,Russian Federation,196614,109,706663,462,186640,58266.16491,67252.649
69,2016,Switzerland,21146,954,3898,1333,36689,58266.16491,2314
70,2016,Ukraine,80950,6513.7,72795,491,9304,56638,74802.7
71,2017,Belgium,42226.8,591.038,32779.3,3307.6,1397.4,17753.6,14938.838
72,2017,Czechia,28339.6,24609.437,52782.94,2193.367,3039.919,36168.972,67248.469
73,2017,France,398359.129,105693,72878.346,9586.316,55134.91,48426.021,152228.508
74,2017,Germany,76324,758,404286,39401,26155,255504,183375
75,2017,Hungary,16098,10568.813,15377,349,220,9874,21787.813
76,2017,Netherlands,3402.478,7406.702,99367.696,2207.583,60.757,55929.935,54950.014
77,2017,Romania,11508.865,140.088,28671.533,1855.674,14853.245,13891.073,11565.048
78,2017,Russian Federation,203143.077,132.6,702881.768,557.508,187131.217,4,70150.181
79,2017,Switzerland,20376.455,984,3864.461,1683.208,37032.66,58266.16491,2288.737
80,2017,Ukraine,85576,7464.7,58173,739,10520,45893,63459.7
81,2018,Belgium,28597,609.33,33317.8,3902.9,1328.8,17723.1,13494.63
82,2018,Czechia,29921.311,28598.595,52338.026,2358.881,2679.418,36296.551,71331.641
83,2018,France,412941.812,109951,57646.613,10891.159,70472.115,29763.62,133868.508
84,2018,Germany,76005,607,385552,45784,23863,244796,167695
85,2018,Hungary,15733,10548.511,14697,629,222,9292,21255.511
86,2018,Netherlands,3514.77,6322.219,95658.532,3709.364,72.348,53460.207,52045.335
87,2018,Romania,11377.435,231.883,27308.477,1771.027,18097.306,13042.393,11653.001
88,2018,Russian Federation,204569.141,121.8,716118.571,719.945,193027.306,1,70020.809
89,2018,Switzerland,25512.63,1188,3727.022,1945.1,37802.28,58266.16491,2725.461
90,2018,Ukraine,84398,9725.6,61104,1098.9,12007,45512,66752.4
91,2019,Belgium,43523.6,700.014,34632.8,4247,1181.2,18858.2,13252.214
92,2019,Czechia,30246.209,34721.684,50474.011,2311.574,3174.686,34703.394,75515.125
93,2019,France,399011.587,125894,62147.665,12225.184,61572.658,32283.67,146159.939
94,2019,Germany,75071,729,334353,46392,25671,197570,100923
95,2019,Hungary,16288,11507.927,15292,1497,219,10539,23329.927
96,2019,Netherlands,3909.748,6772.809,99619.972,5335.455,74.182,54237.044,52377.452
97,2019,Romania,11280.167,330.793,23786.513,1777.615,16005.701,11350.443,9354.02
98,2019,Russian Federation,208984.183,145.92,713954.885,1279.42,196510.443,1,69623.851
99,2019,Switzerland,26417.6,2020.2,3768.019,2177.671,40961.56,58266.16491,3605.842
100,2019,Ukraine,83002.7,1931.9,58201.1,2932.8,7855.1,43518.3,54908.6
